 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 3.2022    Time:  17:26: 8
 Units: L = cm   , T = days , M = mg   



                               Node(  1)                                 Node(  8)                                 Node( 14)

         time            h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc     
          0.0100     -214.38  0.2814  0.2654E-01  0.9836E-03       -193.57  0.2889 -0.4192E-01  0.9291E-03       -176.22  0.2960 -0.5839E-01  0.8834E-03
          0.0200     -214.29  0.2814 -0.1153E-01  0.9834E-03       -193.63  0.2889 -0.3855E-01  0.9292E-03       -176.22  0.2960 -0.5463E-01  0.8833E-03
          0.0330     -213.82  0.2816 -0.9869E-01  0.9827E-03       -193.68  0.2888 -0.3970E-01  0.9292E-03       -176.23  0.2960 -0.4978E-01  0.8833E-03
          0.0499     -212.45  0.2820 -0.2747E+00  0.9814E-03       -193.62  0.2889 -0.5782E-01  0.9292E-03       -176.23  0.2960 -0.4732E-01  0.8833E-03
          0.0719     -209.22  0.2832 -0.6063E+00  0.9793E-03       -193.21  0.2890 -0.1188E+00  0.9293E-03       -176.16  0.2960 -0.5485E-01  0.8833E-03
          0.1004     -202.39  0.2856 -0.1201E+01  0.9763E-03       -191.83  0.2895 -0.2783E+00  0.9294E-03       -175.85  0.2962 -0.9465E-01  0.8833E-03
          0.1376     -189.38  0.2904 -0.2220E+01  0.9727E-03       -188.16  0.2910 -0.6461E+00  0.9296E-03       -174.74  0.2966 -0.2197E+00  0.8833E-03
          0.1858     -170.00  0.2985 -0.3874E+01  0.9686E-03       -179.70  0.2944 -0.1393E+01  0.9302E-03       -171.47  0.2979 -0.5474E+00  0.8833E-03
          0.2358     -147.43  0.3083 -0.5828E+01  0.9648E-03       -166.63  0.3000 -0.2575E+01  0.9309E-03       -165.38  0.3005 -0.1142E+01  0.8832E-03
          0.2858     -126.28  0.3181 -0.7777E+01  0.9616E-03       -149.26  0.3072 -0.4048E+01  0.9316E-03       -155.54  0.3045 -0.2048E+01  0.8832E-03
          0.3358     -108.22  0.3269 -0.9516E+01  0.9589E-03       -132.07  0.3153 -0.5843E+01  0.9323E-03       -143.19  0.3101 -0.3326E+01  0.8832E-03
          0.3858      -93.27  0.3342 -0.1095E+02  0.9567E-03       -114.83  0.3234 -0.7558E+01  0.9328E-03       -128.87  0.3167 -0.4820E+01  0.8834E-03
          0.4358      -81.47  0.3399 -0.1195E+02  0.9551E-03       -100.16  0.3307 -0.9091E+01  0.9331E-03       -114.10  0.3238 -0.6381E+01  0.8835E-03
          0.4858      -73.00  0.3441 -0.1241E+02  0.9541E-03        -88.11  0.3366 -0.1017E+02  0.9333E-03       -100.92  0.3303 -0.7809E+01  0.8837E-03
          0.5358      -67.69  0.3466 -0.1228E+02  0.9539E-03        -79.40  0.3410 -0.1069E+02  0.9333E-03        -89.75  0.3358 -0.8810E+01  0.8838E-03
          0.5858      -65.25  0.3478 -0.1158E+02  0.9543E-03        -73.66  0.3438 -0.1063E+02  0.9332E-03        -81.70  0.3398 -0.9303E+01  0.8839E-03
          0.6358      -65.51  0.3477 -0.1038E+02  0.9554E-03        -70.91  0.3451 -0.1003E+02  0.9331E-03        -76.46  0.3424 -0.9231E+01  0.8838E-03
          0.6858      -68.27  0.3464 -0.8790E+01  0.9571E-03        -70.80  0.3452 -0.8986E+01  0.9328E-03        -73.87  0.3437 -0.8689E+01  0.8839E-03
          0.7358      -73.25  0.3440 -0.6973E+01  0.9593E-03        -72.95  0.3441 -0.7654E+01  0.9325E-03        -73.72  0.3438 -0.7794E+01  0.8837E-03
          0.7858      -81.12  0.3403 -0.4963E+01  0.9622E-03        -77.47  0.3421 -0.6154E+01  0.9320E-03        -75.92  0.3428 -0.6693E+01  0.8837E-03
          0.8358      -90.56  0.3355 -0.3094E+01  0.9654E-03        -83.29  0.3391 -0.4690E+01  0.9316E-03        -79.32  0.3411 -0.5523E+01  0.8836E-03
          0.8858     -101.21  0.3302 -0.1548E+01  0.9687E-03        -90.30  0.3356 -0.3359E+01  0.9311E-03        -84.01  0.3387 -0.4395E+01  0.8836E-03
          0.9358     -111.93  0.3249 -0.4772E+00  0.9720E-03        -97.52  0.3320 -0.2314E+01  0.9307E-03        -89.21  0.3361 -0.3428E+01  0.8835E-03
          0.9679     -118.20  0.3218 -0.9117E-01  0.9737E-03       -102.07  0.3297 -0.1821E+01  0.9305E-03        -92.58  0.3344 -0.2914E+01  0.8835E-03
          1.0000     -123.43  0.3193  0.3925E-01  0.9746E-03       -106.30  0.3276 -0.1481E+01  0.9304E-03        -95.88  0.3328 -0.2512E+01  0.8834E-03
end
