 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  28. 3.2022    Time:   9:26:38
 Units: L = cm   , T = days , M = mg   


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
  70  -207.0000      -0.640 0.3713   0.3989E+02  0.4617E-04 -0.5864E-01  0.0000E+00      -1  -0.135E-02   20.00  0.8833E-03  0.1060E+00
  71  -210.0000       2.356 0.3713   0.4346E+02  0.0000E+00 -0.5676E-01  0.0000E+00      -1  -0.131E-02   20.00  0.8833E-03  0.1060E+00
  72  -213.0000       5.352 0.3713   0.4346E+02  0.0000E+00 -0.5795E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8833E-03  0.1060E+00
  73  -216.0000       8.348 0.3713   0.4346E+02  0.0000E+00 -0.5795E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8833E-03  0.1060E+00
  74  -219.0000      11.344 0.3713   0.4346E+02  0.0000E+00 -0.5795E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8833E-03  0.1060E+00
  75  -222.0000      14.340 0.3713   0.4346E+02  0.0000E+00 -0.5795E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8833E-03  0.1060E+00
  76  -225.0000      17.336 0.3713   0.4346E+02  0.0000E+00 -0.5795E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8833E-03  0.1060E+00
  77  -228.0000      20.332 0.3713   0.4346E+02  0.0000E+00 -0.5796E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8833E-03  0.1060E+00
  78  -231.0000      23.328 0.3713   0.4346E+02  0.0000E+00 -0.5796E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8833E-03  0.1060E+00
  79  -234.0000      26.324 0.3713   0.4346E+02  0.0000E+00 -0.5795E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8833E-03  0.1060E+00
  80  -237.0000      29.320 0.3713   0.4346E+02  0.0000E+00 -0.5793E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8833E-03  0.1060E+00
  81  -240.0000      32.316 0.3713   0.4346E+02  0.0000E+00 -0.5795E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8833E-03  0.1060E+00
  82  -243.0000      35.312 0.3713   0.4346E+02  0.0000E+00 -0.5797E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8833E-03  0.1060E+00
  83  -246.0000      38.308 0.3713   0.4346E+02  0.0000E+00 -0.5795E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8833E-03  0.1060E+00
  84  -249.0000      41.304 0.3713   0.4346E+02  0.0000E+00 -0.6518E-01  0.0000E+00      -1  -0.150E-02   20.00  0.8833E-03  0.1060E+00
  85  -252.0000      44.299 0.3713   0.4346E+02  0.0000E+00 -0.6521E-01  0.0000E+00      -1  -0.150E-02   20.00  0.8833E-03  0.1060E+00
  86  -255.0000      47.295 0.3713   0.4346E+02  0.0000E+00 -0.5795E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8833E-03  0.1060E+00
  87  -258.0000      50.291 0.3713   0.4346E+02  0.0000E+00 -0.5795E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8833E-03  0.1060E+00
  88  -261.0000      53.287 0.3713   0.4346E+02  0.0000E+00 -0.5795E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8833E-03  0.1060E+00
  89  -264.0000      56.283 0.3713   0.4346E+02  0.0000E+00 -0.5795E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8833E-03  0.1060E+00
  90  -267.0000      59.279 0.3713   0.4346E+02  0.0000E+00 -0.5795E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8833E-03  0.1060E+00
  91  -270.0000      62.275 0.3713   0.4346E+02  0.0000E+00 -0.5792E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8833E-03  0.1060E+00
  92  -273.0000      65.271 0.3713   0.4346E+02  0.0000E+00 -0.5797E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8833E-03  0.1060E+00
  93  -276.0000      68.267 0.3713   0.4346E+02  0.0000E+00 -0.5797E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8833E-03  0.1060E+00
  94  -279.0000      71.263 0.3713   0.4346E+02  0.0000E+00 -0.5792E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8833E-03  0.1060E+00
  95  -282.0000      74.259 0.3713   0.4346E+02  0.0000E+00 -0.5797E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8833E-03  0.1060E+00
  96  -285.0000      77.255 0.3713   0.4346E+02  0.0000E+00 -0.5797E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8833E-03  0.1060E+00
  97  -288.0000      80.251 0.3713   0.4346E+02  0.0000E+00 -0.5792E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8834E-03  0.1060E+00
  98  -291.0000      83.247 0.3713   0.4346E+02  0.0000E+00 -0.5797E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8832E-03  0.1060E+00
  99  -294.0000      86.243 0.3713   0.4346E+02  0.0000E+00 -0.5797E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8829E-03  0.1059E+00
 100  -297.0000      89.239 0.3713   0.4346E+02  0.0000E+00 -0.5792E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8802E-03  0.1058E+00
 101  -300.0000      92.235 0.3713   0.4346E+02  0.0000E+00 -0.5792E-01  0.0000E+00      -1  -0.133E-02   20.00  0.8802E-03  0.1050E+00
end


 Time:        1.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -207.579 0.2838   0.1160E+01  0.3724E-03  0.1070E-01  0.0000E+00      -1   0.246E-03   20.00  0.1025E-02  0.1229E+00
   2    -3.0000    -204.550 0.2849   0.1195E+01  0.3761E-03  0.1220E-01  0.0000E+00      -1   0.281E-03   20.00  0.1042E-02  0.1251E+00
   3    -6.0000    -201.518 0.2860   0.1230E+01  0.3797E-03  0.1370E-01  0.0000E+00      -1   0.315E-03   20.00  0.1052E-02  0.1262E+00
   4    -9.0000    -198.483 0.2871   0.1265E+01  0.3834E-03  0.1707E-01  0.1252E-02      -1   0.393E-03   20.00  0.1052E-02  0.1263E+00
   5   -12.0000    -195.437 0.2882   0.1300E+01  0.3871E-03  0.2227E-01  0.1252E-02      -1   0.512E-03   20.00  0.1043E-02  0.1252E+00
   6   -15.0000    -192.381 0.2893   0.1336E+01  0.3908E-03  0.2743E-01  0.1253E-02      -1   0.631E-03   20.00  0.1025E-02  0.1230E+00
   7   -18.0000    -189.315 0.2906   0.1398E+01  0.3947E-03  0.3262E-01  0.1254E-02      -1   0.751E-03   20.00  0.9966E-03  0.1196E+00
   8   -21.0000    -186.241 0.2918   0.1466E+01  0.3987E-03  0.3782E-01  0.1255E-02      -1   0.870E-03   20.00  0.9633E-03  0.1156E+00
   9   -24.0000    -183.160 0.2931   0.1535E+01  0.4027E-03  0.4287E-01  0.1242E-02      -1   0.986E-03   20.00  0.9334E-03  0.1120E+00
  10   -27.0000    -180.074 0.2944   0.1604E+01  0.4068E-03  0.4767E-01  0.1178E-02      -1   0.110E-02   20.00  0.9109E-03  0.1093E+00
  11   -30.0000    -176.982 0.2957   0.1672E+01  0.4108E-03  0.5212E-01  0.1113E-02      -1   0.120E-02   20.00  0.8960E-03  0.1075E+00
  12   -33.0000    -173.887 0.2970   0.1741E+01  0.4148E-03  0.5622E-01  0.1048E-02      -1   0.129E-02   20.00  0.8884E-03  0.1066E+00
  13   -36.0000    -170.788 0.2983   0.1810E+01  0.4188E-03  0.5994E-01  0.9831E-03      -1   0.138E-02   20.00  0.8842E-03  0.1061E+00
  14   -39.0000    -167.688 0.2996   0.1879E+01  0.4229E-03  0.6330E-01  0.9181E-03      -1   0.146E-02   20.00  0.8833E-03  0.1060E+00
  15   -42.0000    -164.586 0.3009   0.1949E+01  0.4269E-03  0.6627E-01  0.8529E-03      -1   0.152E-02   20.00  0.8833E-03  0.1060E+00
  16   -45.0000    -161.484 0.3022   0.2018E+01  0.4309E-03  0.6888E-01  0.7877E-03      -1   0.158E-02   20.00  0.8833E-03  0.1060E+00
  17   -48.0000    -158.381 0.3035   0.2087E+01  0.4350E-03  0.7110E-01  0.7224E-03      -1   0.164E-02   20.00  0.8833E-03  0.1060E+00
  18   -51.0000    -155.279 0.3048   0.2156E+01  0.4390E-03  0.7294E-01  0.6570E-03      -1   0.168E-02   20.00  0.8833E-03  0.1060E+00
  19   -54.0000    -152.178 0.3061   0.2225E+01  0.4431E-03  0.7442E-01  0.5915E-03      -1   0.171E-02   20.00  0.8833E-03  0.1060E+00
  20   -57.0000    -149.080 0.3075   0.2345E+01  0.4467E-03  0.7550E-01  0.5260E-03      -1   0.174E-02   20.00  0.8833E-03  0.1060E+00
  21   -60.0000    -145.985 0.3089   0.2468E+01  0.4502E-03  0.7619E-01  0.4605E-03      -1   0.175E-02   20.00  0.8833E-03  0.1060E+00
  22   -63.0000    -142.895 0.3103   0.2592E+01  0.4538E-03  0.7653E-01  0.3948E-03      -1   0.176E-02   20.00  0.8833E-03  0.1060E+00
  23   -66.0000    -139.808 0.3118   0.2715E+01  0.4574E-03  0.7652E-01  0.3291E-03      -1   0.176E-02   20.00  0.8833E-03  0.1060E+00
  24   -69.0000    -136.725 0.3132   0.2837E+01  0.4610E-03  0.7618E-01  0.2634E-03      -1   0.175E-02   20.00  0.8833E-03  0.1060E+00
  25   -72.0000    -133.647 0.3146   0.2960E+01  0.4645E-03  0.7552E-01  0.1976E-03      -1   0.174E-02   20.00  0.8833E-03  0.1060E+00
  26   -75.0000    -130.572 0.3160   0.3083E+01  0.4681E-03  0.7457E-01  0.1318E-03      -1   0.172E-02   20.00  0.8833E-03  0.1060E+00
  27   -78.0000    -127.502 0.3175   0.3205E+01  0.4716E-03  0.7333E-01  0.6591E-04      -1   0.169E-02   20.00  0.8833E-03  0.1060E+00
  28   -81.0000    -124.435 0.3189   0.3327E+01  0.4752E-03  0.7181E-01  0.0000E+00      -1   0.165E-02   20.00  0.8833E-03  0.1060E+00
  29   -84.0000    -121.372 0.3203   0.3449E+01  0.4787E-03  0.7013E-01  0.0000E+00      -1   0.161E-02   20.00  0.8833E-03  0.1060E+00
  30   -87.0000    -118.313 0.3218   0.3627E+01  0.4813E-03  0.6833E-01  0.0000E+00      -1   0.157E-02   20.00  0.8833E-03  0.1060E+00
  31   -90.0000    -115.259 0.3233   0.3828E+01  0.4835E-03  0.6646E-01  0.0000E+00      -1   0.153E-02   20.00  0.8833E-03  0.1060E+00
  32   -93.0000    -112.209 0.3248   0.4030E+01  0.4856E-03  0.6454E-01  0.0000E+00      -1   0.149E-02   20.00  0.8833E-03  0.1060E+00
  33   -96.0000    -109.163 0.3262   0.4231E+01  0.4878E-03  0.6261E-01  0.0000E+00      -1   0.144E-02   20.00  0.8833E-03  0.1060E+00
  34   -99.0000    -106.120 0.3277   0.4431E+01  0.4899E-03  0.6066E-01  0.0000E+00      -1   0.140E-02   20.00  0.8833E-03  0.1060E+00
  35  -102.0000    -103.081 0.3292   0.4632E+01  0.4921E-03  0.5872E-01  0.0000E+00      -1   0.135E-02   20.00  0.8833E-03  0.1060E+00
  36  -105.0000    -100.044 0.3307   0.4832E+01  0.4943E-03  0.5679E-01  0.0000E+00      -1   0.131E-02   20.00  0.8833E-03  0.1060E+00
  37  -108.0000     -97.010 0.3322   0.5032E+01  0.4964E-03  0.5487E-01  0.0000E+00      -1   0.126E-02   20.00  0.8833E-03  0.1060E+00
  38  -111.0000     -93.979 0.3337   0.5285E+01  0.4975E-03  0.5296E-01  0.0000E+00      -1   0.122E-02   20.00  0.8833E-03  0.1060E+00
  39  -114.0000     -90.950 0.3352   0.5593E+01  0.4973E-03  0.5107E-01  0.0000E+00      -1   0.117E-02   20.00  0.8833E-03  0.1060E+00
  40  -117.0000     -87.924 0.3367   0.5900E+01  0.4972E-03  0.4921E-01  0.0000E+00      -1   0.113E-02   20.00  0.8833E-03  0.1060E+00
  41  -120.0000     -84.900 0.3382   0.6208E+01  0.4970E-03  0.4739E-01  0.0000E+00      -1   0.109E-02   20.00  0.8833E-03  0.1060E+00
  42  -123.0000     -81.878 0.3397   0.6515E+01  0.4969E-03  0.4561E-01  0.0000E+00      -1   0.105E-02   20.00  0.8833E-03  0.1060E+00
  43  -126.0000     -78.858 0.3412   0.6821E+01  0.4968E-03  0.4388E-01  0.0000E+00      -1   0.101E-02   20.00  0.8833E-03  0.1060E+00
  44  -129.0000     -75.839 0.3427   0.7128E+01  0.4966E-03  0.4221E-01  0.0000E+00      -1   0.971E-03   20.00  0.8833E-03  0.1060E+00
  45  -132.0000     -72.822 0.3442   0.7562E+01  0.4936E-03  0.4060E-01  0.0000E+00      -1   0.934E-03   20.00  0.8833E-03  0.1060E+00
  46  -135.0000     -69.807 0.3457   0.8005E+01  0.4905E-03  0.3905E-01  0.0000E+00      -1   0.899E-03   20.00  0.8833E-03  0.1060E+00
  47  -138.0000     -66.793 0.3472   0.8447E+01  0.4873E-03  0.3756E-01  0.0000E+00      -1   0.864E-03   20.00  0.8833E-03  0.1060E+00
  48  -141.0000     -63.780 0.3486   0.8889E+01  0.4841E-03  0.3612E-01  0.0000E+00      -1   0.831E-03   20.00  0.8833E-03  0.1060E+00
  49  -144.0000     -60.769 0.3501   0.9331E+01  0.4809E-03  0.3475E-01  0.0000E+00      -1   0.799E-03   20.00  0.8833E-03  0.1060E+00
  50  -147.0000     -57.758 0.3515   0.9890E+01  0.4751E-03  0.3344E-01  0.0000E+00      -1   0.769E-03   20.00  0.8833E-03  0.1060E+00
  51  -150.0000     -54.748 0.3530   0.1049E+02  0.4684E-03  0.3222E-01  0.0000E+00      -1   0.741E-03   20.00  0.8833E-03  0.1060E+00
  52  -153.0000     -51.740 0.3544   0.1110E+02  0.4617E-03  0.3106E-01  0.0000E+00      -1   0.715E-03   20.00  0.8833E-03  0.1060E+00
  53  -156.0000     -48.732 0.3558   0.1170E+02  0.4549E-03  0.2995E-01  0.0000E+00      -1   0.689E-03   20.00  0.8833E-03  0.1060E+00
  54  -159.0000     -45.724 0.3571   0.1241E+02  0.4459E-03  0.2892E-01  0.0000E+00      -1   0.665E-03   20.00  0.8833E-03  0.1060E+00
  55  -162.0000     -42.718 0.3584   0.1320E+02  0.4354E-03  0.2796E-01  0.0000E+00      -1   0.643E-03   20.00  0.8833E-03  0.1060E+00
  56  -165.0000     -39.712 0.3597   0.1399E+02  0.4248E-03  0.2705E-01  0.0000E+00      -1   0.622E-03   20.00  0.8833E-03  0.1060E+00
  57  -168.0000     -36.706 0.3610   0.1485E+02  0.4130E-03  0.2622E-01  0.0000E+00      -1   0.603E-03   20.00  0.8833E-03  0.1060E+00
  58  -171.0000     -33.701 0.3622   0.1584E+02  0.3985E-03  0.2546E-01  0.0000E+00      -1   0.586E-03   20.00  0.8833E-03  0.1060E+00
  59  -174.0000     -30.696 0.3634   0.1683E+02  0.3839E-03  0.2474E-01  0.0000E+00      -1   0.569E-03   20.00  0.8833E-03  0.1060E+00
  60  -177.0000     -27.692 0.3645   0.1799E+02  0.3666E-03  0.2408E-01  0.0000E+00      -1   0.554E-03   20.00  0.8833E-03  0.1060E+00
  61  -180.0000     -24.688 0.3656   0.1921E+02  0.3481E-03  0.2349E-01  0.0000E+00      -1   0.540E-03   20.00  0.8833E-03  0.1060E+00
  62  -183.0000     -21.685 0.3666   0.2059E+02  0.3270E-03  0.2295E-01  0.0000E+00      -1   0.528E-03   20.00  0.8833E-03  0.1060E+00
  63  -186.0000     -18.682 0.3676   0.2206E+02  0.3044E-03  0.2249E-01  0.0000E+00      -1   0.517E-03   20.00  0.8833E-03  0.1060E+00
