 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 3.2022    Time:  23: 2: 2
 Units: L = cm   , T = days , M = mg   



                               Node(  1)                                 Node(  8)                                 Node( 14)

         time            h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc     
          0.0100     -199.02  0.2869  0.1488E+00  0.3027E-02       -180.87  0.2941 -0.5225E+00  0.2575E-02       -170.37  0.2985 -0.8671E+00  0.2528E-02
          0.0230     -200.06  0.2865  0.1488E+00  0.3030E-02       -181.58  0.2938 -0.4858E+00  0.2574E-02       -170.75  0.2983 -0.8329E+00  0.2528E-02
          0.0399     -201.46  0.2860  0.1488E+00  0.3031E-02       -182.61  0.2934 -0.4392E+00  0.2574E-02       -171.33  0.2981 -0.7863E+00  0.2528E-02
          0.0619     -203.06  0.2854  0.1488E+00  0.3032E-02       -183.84  0.2928 -0.3911E+00  0.2573E-02       -172.08  0.2977 -0.7332E+00  0.2528E-02
          0.0904     -204.98  0.2848  0.1488E+00  0.3033E-02       -185.37  0.2922 -0.3396E+00  0.2572E-02       -173.07  0.2973 -0.6714E+00  0.2528E-02
          0.1276     -207.19  0.2840  0.1488E+00  0.3033E-02       -187.21  0.2914 -0.2878E+00  0.2571E-02       -174.33  0.2968 -0.6040E+00  0.2528E-02
          0.1758     -209.77  0.2830  0.1488E+00  0.3033E-02       -189.41  0.2905 -0.2358E+00  0.2571E-02       -175.92  0.2961 -0.5321E+00  0.2528E-02
          0.2386     -212.72  0.2820  0.1488E+00  0.3034E-02       -191.98  0.2894 -0.1853E+00  0.2570E-02       -177.88  0.2953 -0.4583E+00  0.2528E-02
          0.3232     -225.43  0.2777  0.7566E+00  0.3078E-02       -197.53  0.2875  0.5462E-01  0.2569E-02       -181.19  0.2940 -0.3043E+00  0.2528E-02
          0.4360     -251.64  0.2686  0.1569E+01  0.3130E-02       -208.25  0.2836  0.4754E+00  0.2575E-02       -187.19  0.2914 -0.2262E-01  0.2528E-02
          0.5770     -273.13  0.2621  0.1509E+01  0.3126E-02       -221.17  0.2789  0.7397E+00  0.2581E-02       -195.55  0.2882  0.2515E+00  0.2527E-02
          0.7885     -254.00  0.2679  0.1488E+00  0.3056E-02       -224.91  0.2776  0.3710E+00  0.2574E-02       -202.01  0.2859  0.2042E+00  0.2527E-02
          1.0000     -251.60  0.2690  0.1488E+00  0.3052E-02       -225.82  0.2772  0.1943E+00  0.2574E-02       -205.08  0.2846  0.1149E+00  0.2528E-02
end
