 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   4. 3.2022    Time:  19:32: 8
 Units: L = cm   , T = days , M = mg   



                               Node(  1)                                 Node(  8)                                 Node( 14)

         time            h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc     
          0.0100     -262.59  0.2653  0.8214E-02  0.8849E-02       -240.50  0.2720  0.7104E-01  0.9139E-02       -220.41  0.2792  0.1365E+00  0.8863E-02
          0.0200     -262.39  0.2653 -0.8883E-02  0.8848E-02       -240.43  0.2720  0.7088E-01  0.9138E-02       -220.35  0.2792  0.1357E+00  0.8862E-02
          0.0330     -261.90  0.2655 -0.4799E-01  0.8839E-02       -240.32  0.2720  0.6923E-01  0.9138E-02       -220.27  0.2793  0.1343E+00  0.8862E-02
          0.0499     -260.79  0.2658 -0.1270E+00  0.8811E-02       -240.14  0.2721  0.6182E-01  0.9137E-02       -220.16  0.2793  0.1321E+00  0.8862E-02
          0.0719     -258.43  0.2665 -0.2758E+00  0.8749E-02       -239.76  0.2722  0.3978E-01  0.9136E-02       -220.00  0.2794  0.1269E+00  0.8861E-02
          0.1004     -253.63  0.2679 -0.5426E+00  0.8636E-02       -238.87  0.2725 -0.1653E-01  0.9135E-02       -219.72  0.2794  0.1129E+00  0.8861E-02
          0.1376     -244.43  0.2706 -0.1000E+01  0.8483E-02       -236.80  0.2733 -0.1435E+00  0.9134E-02       -219.11  0.2797  0.7540E-01  0.8860E-02
          0.1858     -230.09  0.2756 -0.1742E+01  0.8306E-02       -232.24  0.2749 -0.3970E+00  0.9130E-02       -217.60  0.2802 -0.1741E-01  0.8857E-02
          0.2358     -213.03  0.2818 -0.2619E+01  0.8151E-02       -224.99  0.2775 -0.7940E+00  0.9123E-02       -214.91  0.2812 -0.1803E+00  0.8856E-02
          0.2858     -194.89  0.2884 -0.3500E+01  0.8016E-02       -215.11  0.2810 -0.1322E+01  0.9114E-02       -210.68  0.2827 -0.4294E+00  0.8855E-02
          0.3358     -178.43  0.2952 -0.4292E+01  0.7903E-02       -203.48  0.2852 -0.1923E+01  0.9101E-02       -204.88  0.2848 -0.7621E+00  0.8858E-02
          0.3858     -164.76  0.3009 -0.4948E+01  0.7822E-02       -191.16  0.2898 -0.2529E+01  0.9086E-02       -197.78  0.2873 -0.1156E+01  0.8865E-02
          0.4358     -153.17  0.3057 -0.5402E+01  0.7760E-02       -179.74  0.2946 -0.3169E+01  0.9065E-02       -189.85  0.2903 -0.1601E+01  0.8874E-02
          0.4858     -144.48  0.3098 -0.5610E+01  0.7720E-02       -169.57  0.2988 -0.3682E+01  0.9054E-02       -181.80  0.2937 -0.2080E+01  0.8882E-02
          0.5358     -138.80  0.3124 -0.5552E+01  0.7707E-02       -160.96  0.3024 -0.3982E+01  0.9041E-02       -173.73  0.2971 -0.2489E+01  0.8893E-02
          0.5858     -135.67  0.3138 -0.5233E+01  0.7717E-02       -154.18  0.3053 -0.4080E+01  0.9034E-02       -166.37  0.3001 -0.2781E+01  0.8900E-02
          0.6358     -135.00  0.3141 -0.4685E+01  0.7752E-02       -149.41  0.3074 -0.3983E+01  0.9034E-02       -160.07  0.3028 -0.2935E+01  0.8904E-02
          0.6858     -136.57  0.3134 -0.3961E+01  0.7809E-02       -146.74  0.3087 -0.3718E+01  0.9040E-02       -155.10  0.3049 -0.2952E+01  0.8905E-02
          0.7358     -140.15  0.3117 -0.3133E+01  0.7888E-02       -145.89  0.3090 -0.3310E+01  0.9049E-02       -151.54  0.3064 -0.2850E+01  0.8902E-02
          0.7858     -145.67  0.3092 -0.2231E+01  0.7991E-02       -146.68  0.3087 -0.2805E+01  0.9060E-02       -149.58  0.3073 -0.2672E+01  0.8899E-02
          0.8358     -152.67  0.3059 -0.1392E+01  0.8114E-02       -149.05  0.3076 -0.2262E+01  0.9073E-02       -149.13  0.3075 -0.2391E+01  0.8896E-02
          0.8858     -161.01  0.3024 -0.6984E+00  0.8251E-02       -152.54  0.3059 -0.1731E+01  0.9086E-02       -149.84  0.3072 -0.2056E+01  0.8892E-02
          0.9358     -169.27  0.2989 -0.2178E+00  0.8395E-02       -156.77  0.3042 -0.1293E+01  0.9094E-02       -151.39  0.3064 -0.1720E+01  0.8887E-02
          0.9679     -174.02  0.2969 -0.4462E-01  0.8482E-02       -159.50  0.3030 -0.1065E+01  0.9098E-02       -152.58  0.3059 -0.1518E+01  0.8883E-02
          1.0000     -177.94  0.2953  0.1391E-01  0.8556E-02       -162.17  0.3019 -0.8902E+00  0.9101E-02       -153.96  0.3053 -0.1346E+01  0.8880E-02
end
