day,sumZnbot,sumZnbotsum
1,-0.0013566,-0.0013566
2,-0.0022842,-0.0036408
3,-0.0012819,-0.0049227
4,-0.0012067,-0.0061294
5,-0.00071595,-0.00684535
6,-0.00074994,-0.00759529
7,-0.00045721,-0.0080525
8,-0.00062764,-0.008680140000000001
9,-0.00076094,-0.009441080000000001
10,-0.00036599,-0.009807070000000001
11,-0.00040422,-0.010211290000000001
12,-0.00016592,-0.010377210000000001
13,-7.0256e-07,-0.01037791256
14,-6.1743e-06,-0.01038408686
15,-0.00070678,-0.011090866860000001
16,-0.0019257,-0.013016566860000002
17,-0.00089476,-0.013911326860000002
18,-0.0006044,-0.014515726860000001
19,-0.00051472,-0.015030446860000001
20,-0.00072191,-0.01575235686
21,-0.00066993,-0.01642228686
22,-0.00012132,-0.01654360686
23,-6.3814e-08,-0.016543670674
24,0.0,-0.016543670674
25,-0.00033052,-0.016874190674000002
26,-0.0013416,-0.018215790674000004
27,-0.00042828,-0.018644070674000004
28,-3.1152e-05,-0.018675222674000003
29,0.0,-0.018675222674000003
30,0.0,-0.018675222674000003
31,-0.0013413,-0.020016522674000004
32,-0.0027702,-0.022786722674000004
33,-0.0011355,-0.023922222674000005
34,-0.00038568,-0.024307902674000004
35,-0.00033977,-0.024647672674000004
36,-0.00081529,-0.025462962674000004
37,-0.00047453,-0.025937492674000005
38,-0.00022931,-0.026166802674000005
39,-0.00011185,-0.026278652674000005
40,-5.6817e-05,-0.026335469674000005
41,-3.9046e-05,-0.026374515674000006
42,-3.3561e-05,-0.026408076674000008
43,-7.7859e-05,-0.026485935674000007
44,-0.0010628,-0.027548735674000006
45,-0.0015301,-0.029078835674000006
46,-0.00088329,-0.029962125674000004
47,-0.00038832,-0.030350445674000005
48,-0.00012173,-0.030472175674000006
49,-2.5533e-07,-0.030472431004000006
50,-3.3467e-05,-0.030505898004000005
51,-0.00070934,-0.031215238004000005
52,-0.00098088,-0.032196118004000004
53,-0.0002553,-0.032451418004000004
54,-8.4429e-07,-0.03245226229400001
55,-5.1015e-05,-0.03250327729400001
56,-0.00016409,-0.03266736729400001
57,-4.4657e-07,-0.03266781386400001
58,0.0,-0.03266781386400001
59,-2.4618e-06,-0.032670275664000006
60,-3.8717e-05,-0.03270899266400001
61,-1.4494e-05,-0.032723486664000004
62,-5.5399e-05,-0.032778885664
63,0.0,-0.032778885664
64,0.0,-0.032778885664
65,-1.4599e-08,-0.032778900263
66,-9.6617e-05,-0.032875517263000004
67,-2.8869e-05,-0.032904386263000004
68,-3.4952e-05,-0.032939338263
69,-0.00034644,-0.033285778263000006
70,-0.00032662,-0.033612398263000005
71,-0.00078718,-0.034399578263000004
72,-0.00324,-0.037639578263000004
73,-0.0036262,-0.04126577826300001
74,-0.0014212,-0.042686978263000004
75,-0.0007346,-0.043421578263000006
76,-0.00035913,-0.043780708263000005
77,-0.00012733,-0.04390803826300001
78,-5.1954e-05,-0.04395999226300001
79,-1.0632e-05,-0.043970624263000004
80,0.0,-0.043970624263000004
81,0.0,-0.043970624263000004
82,0.0,-0.043970624263000004
83,0.0,-0.043970624263000004
84,0.0,-0.043970624263000004
85,0.0,-0.043970624263000004
86,-9.9727e-08,-0.04397072399
87,-7.8081e-05,-0.04404880499
88,-0.00064809,-0.04469689499
89,-0.0029009,-0.04759779499
90,-0.0019675,-0.049565294989999995
91,-0.00059358,-0.05015887499
92,-0.0001095,-0.050268374989999996
93,-3.8221e-07,-0.05026875719999999
94,0.0,-0.05026875719999999
95,-7.9204e-06,-0.05027667759999999
96,-0.00030391,-0.05058058759999999
97,-0.00017071,-0.05075129759999999
98,-7.3797e-05,-0.05082509459999999
99,-5.4991e-05,-0.050880085599999986
100,-5.2335e-05,-0.050932420599999986
101,-5.1288e-05,-0.05098370859999998
102,-4.7446e-05,-0.05103115459999998
103,-3.6452e-05,-0.05106760659999998
104,-0.00023571,-0.05130331659999998
105,-0.0011021,-0.052405416599999984
106,-0.00074547,-0.05315088659999998
107,-0.00029265,-0.05344353659999998
108,-2.091e-06,-0.05344562759999998
109,0.0,-0.05344562759999998
110,0.0,-0.05344562759999998
111,-5.016e-05,-0.05349578759999998
112,-0.00019419,-0.05368997759999998
113,-1.0831e-06,-0.05369106069999998
114,-2.8876e-05,-0.05371993669999998
115,-1.5912e-06,-0.053721527899999975
116,0.0,-0.053721527899999975
117,-2.1782e-05,-0.05374330989999997
118,-9.5331e-07,-0.053744263209999976
119,-9.1962e-05,-0.05383622520999998
120,-0.00023745,-0.05407367520999998
121,-0.00032799,-0.05440166520999998
122,-0.00040666,-0.05480832520999998
123,-0.00065515,-0.05546347520999998
124,-2.7329e-06,-0.055466208109999984
125,0.0,-0.055466208109999984
126,-1.0136e-05,-0.055476344109999985
127,-0.0010419,-0.056518244109999984
128,-0.0002505,-0.056768744109999984
129,-6.1779e-06,-0.056774922009999985
130,-0.00069256,-0.05746748200999999
131,-6.6356e-05,-0.057533838009999984
132,-3.8158e-05,-0.05757199600999999
133,-4.4773e-05,-0.057616769009999985
134,-5.4049e-05,-0.057670818009999986
135,-6.3863e-05,-0.05773468100999998
136,-7.947e-05,-0.05781415100999998
137,-8.9416e-05,-0.05790356700999998
138,-7.5736e-05,-0.05797930300999998
139,-0.00025567,-0.05823497300999998
140,-0.00024764,-0.05848261300999998
141,-6.4234e-05,-0.058546847009999986
142,-8.9235e-08,-0.058546936244999986
143,0.0,-0.058546936244999986
144,0.0,-0.058546936244999986
145,0.0,-0.058546936244999986
146,0.0,-0.058546936244999986
147,0.0,-0.058546936244999986
