 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 3.2022    Time:  17:26:25
 Units: L = cm   , T = days , M = mg   



                               Node(  1)                                 Node(  8)                                 Node( 14)

         time            h        theta    Flux     Conc              h        theta    Flux     Conc              h        theta    Flux     Conc     
          0.0100     -190.01  0.2903  0.3825E-01  0.8496E-03       -172.05  0.2978 -0.4719E+00  0.8833E-03       -159.69  0.3029 -0.7073E+00  0.8833E-03
          0.0230     -190.75  0.2899  0.3825E-01  0.8498E-03       -172.59  0.2975 -0.4431E+00  0.8833E-03       -159.98  0.3028 -0.6765E+00  0.8834E-03
          0.0399     -191.79  0.2895  0.3825E-01  0.8498E-03       -173.37  0.2972 -0.4059E+00  0.8833E-03       -160.41  0.3026 -0.6353E+00  0.8833E-03
          0.0619     -192.98  0.2891  0.3825E-01  0.8497E-03       -174.29  0.2968 -0.3676E+00  0.8833E-03       -160.95  0.3024 -0.5888E+00  0.8833E-03
          0.0904     -194.37  0.2886  0.3825E-01  0.8497E-03       -175.42  0.2963 -0.3263E+00  0.8833E-03       -161.65  0.3021 -0.5352E+00  0.8833E-03
          0.1276     -196.00  0.2880  0.3826E-01  0.8497E-03       -176.76  0.2958 -0.2832E+00  0.8833E-03       -162.53  0.3017 -0.4763E+00  0.8833E-03
          0.1758     -197.84  0.2873  0.3825E-01  0.8498E-03       -178.31  0.2951 -0.2395E+00  0.8833E-03       -163.60  0.3013 -0.4128E+00  0.8833E-03
          0.2386     -199.92  0.2866  0.3825E-01  0.8498E-03       -180.09  0.2944 -0.1952E+00  0.8833E-03       -164.87  0.3008 -0.3467E+00  0.8833E-03
          0.3232     -204.38  0.2850  0.1945E+00  0.8517E-03       -182.73  0.2933 -0.9749E-01  0.8834E-03       -166.61  0.3000 -0.2552E+00  0.8833E-03
          0.4360     -212.94  0.2820  0.4033E+00  0.8543E-03       -188.50  0.2910  0.6647E-01  0.8835E-03       -170.58  0.2984 -0.7688E-01  0.8834E-03
          0.5770     -222.33  0.2785  0.3880E+00  0.8544E-03       -197.04  0.2877  0.1850E+00  0.8835E-03       -177.02  0.2957  0.1340E+00  0.8835E-03
          0.7885     -225.10  0.2771  0.3825E-01  0.8510E-03       -203.47  0.2851  0.1137E+00  0.8835E-03       -183.10  0.2930  0.2132E+00  0.8834E-03
          1.0000     -224.89  0.2775  0.3825E-01  0.8510E-03       -202.67  0.2854  0.9772E-01  0.8833E-03       -183.02  0.2929  0.1396E+00  0.8833E-03
end
